customer_id,segment,region,avg_monthly_spend,payment_delay_days,customer_satisfaction,interaction_count,issue_resolution_time,debt_status,demand_cluster,churn_risk,debt_risk
114,Low-Value,Rural,1947.7927417039577,16,1.0797965032026107,19,11.263859656287076,Default,0,1,1
115,High-Value,Urban,1133.6569340596936,27,4.102841685423661,36,17.641790154164703,Default,1,0,1
116,Medium-Value,Rural,1163.611872141552,13,5.345843091006192,48,12.152406733517116,Default,1,0,1
117,High-Value,Rural,1088.2192875545497,33,2.6599015503712273,7,9.809082514515593,Paid on Time,1,1,0
118,Low-Value,Rural,1260.390381324778,111,5.429489552696852,9,25.821519787529287,Paid on Time,1,0,0
119,Low-Value,Rural,602.1695302701344,74,4.046372727123418,8,22.861309516375922,Paid on Time,2,0,0
120,Medium-Value,Urban,645.7585611521976,56,5.09580699495767,25,11.018024885221323,Default,2,0,1
121,High-Value,Urban,1071.5442706126523,76,4.127119755207346,7,13.60431760684106,Default,1,0,1
122,Low-Value,Urban,1632.703124050801,96,6.656210648081201,42,21.059399118385034,Late Payment,0,0,0
123,Medium-Value,Rural,194.74269533893982,54,1.3860730989421453,8,24.521284637124765,Default,2,1,1
124,Low-Value,Rural,1246.4680032184674,65,2.538147609498462,24,20.84589662191666,Paid on Time,1,1,0
125,Low-Value,Rural,1632.8784707619966,97,4.894757821998996,17,16.687015839796512,Late Payment,0,0,0
126,High-Value,Urban,398.1428168707316,116,4.206670439966711,12,28.67718912600688,Default,2,0,1
127,Low-Value,Rural,128.54282976307596,92,4.524687603584353,46,23.450164972505345,Late Payment,2,0,0
128,High-Value,Suburban,694.1552607687703,36,8.233846253924318,31,4.3521639513473716,Late Payment,2,0,0
129,Low-Value,Rural,1217.4730427862364,67,8.976984924226292,12,17.186033864968557,Default,1,0,1
130,Medium-Value,Suburban,362.73802946902066,75,3.2380190514781306,2,12.877142600473894,Paid on Time,2,1,0
131,Low-Value,Rural,909.6325048477224,25,8.52751954257675,12,24.05313346693302,Paid on Time,1,0,0
132,High-Value,Urban,1149.410845011128,60,5.12910878761322,27,2.2952279818655272,Late Payment,1,0,0
133,High-Value,Rural,1237.8778800389025,91,3.464385573575987,46,12.910983528910414,Default,1,1,1
134,Medium-Value,Suburban,621.3822699007128,66,9.869104639042105,7,10.23001314496109,Default,2,0,1
135,Low-Value,Suburban,860.0563083739536,83,8.423216122907505,13,5.094393552811831,Paid on Time,1,0,0
136,Low-Value,Rural,1578.8445352283616,73,9.948279871778825,36,11.98531934426759,Default,0,0,1
137,Medium-Value,Suburban,1888.3079188293025,51,2.513717059854292,1,20.511208067349894,Default,0,1,1
138,Low-Value,Suburban,1737.5726291246888,17,2.294584065530728,49,11.488658665943262,Late Payment,0,1,0
139,Low-Value,Urban,1172.1386532935205,52,5.530401576498154,35,17.82019068521859,Default,1,0,1
140,High-Value,Rural,879.5563255934984,62,6.747793840310985,30,18.191542082239962,Default,1,0,1
141,Low-Value,Rural,732.6175673056946,52,2.5395408328001645,31,18.026222684682963,Default,1,1,1
142,Low-Value,Rural,337.41747555963434,116,8.743876012796884,17,16.35642463438196,Paid on Time,2,0,0
143,Medium-Value,Suburban,302.4473697106147,26,5.78812130797027,8,4.39265883478925,Paid on Time,2,0,0
144,Medium-Value,Rural,1407.8794873359495,30,4.698476498985827,3,7.335221895624452,Late Payment,0,0,0
145,High-Value,Rural,593.6093907252048,90,6.4184830563434065,10,24.201945211278687,Paid on Time,2,0,0
146,Low-Value,Urban,583.857204221649,105,6.714583416750603,34,15.568599178758594,Paid on Time,2,0,0
147,Low-Value,Urban,1996.5706035077928,0,1.3850495288541471,22,21.476213159253135,Paid on Time,0,1,0
148,Low-Value,Urban,457.05931996021127,5,9.999034000345443,4,17.52736332617009,Paid on Time,2,0,0
149,High-Value,Suburban,381.31354302877634,10,4.2752761912402795,32,2.122017380506912,Late Payment,2,0,0
150,High-Value,Rural,287.5019327438491,33,1.5538838221890656,29,24.090199301519114,Default,2,1,1
151,Medium-Value,Urban,1201.6301558169127,102,8.670908572979638,46,2.8654016413424346,Default,1,0,1
152,High-Value,Urban,1292.9412694039927,83,9.93716811291081,11,28.35204748359862,Default,1,0,1
153,Low-Value,Urban,793.9330598880757,62,8.347226582944812,46,7.245930729447199,Late Payment,1,0,0
154,Low-Value,Rural,1117.2853374717888,52,8.666942408738612,13,15.859778160344337,Paid on Time,1,0,0
155,High-Value,Rural,1597.9591087953338,84,6.633416027975058,4,2.8440532315078095,Late Payment,0,0,0
156,Low-Value,Rural,1654.3979198113218,84,9.300930203988395,2,26.953038981308815,Late Payment,0,0,0
157,Low-Value,Suburban,1920.0329438597319,17,1.3216469655472078,34,29.418267382379327,Late Payment,0,1,0
158,High-Value,Suburban,1666.1091732534617,20,7.9005147665878095,43,5.242482578914506,Default,0,0,1
159,High-Value,Urban,1173.1987297631106,18,7.03639205500668,22,9.577809732312073,Paid on Time,1,0,0
160,Low-Value,Rural,441.3482350900074,3,1.4462647347160202,5,1.460358232021586,Default,2,1,1
161,Low-Value,Urban,289.5507596354006,76,5.895762210788314,9,23.82199926705624,Late Payment,2,0,0
162,Low-Value,Rural,203.57259083063246,81,5.635543111820826,20,10.032465647760965,Late Payment,2,0,0
163,Medium-Value,Rural,1366.399080392229,115,7.22380802569279,21,18.076286610913105,Default,0,0,1
164,Medium-Value,Rural,1634.3188852561868,28,1.6977827044825529,17,2.137336537120423,Default,0,1,1
165,Medium-Value,Suburban,1066.49950629975,24,8.247509067955708,12,21.748347733567677,Default,1,0,1
166,High-Value,Suburban,203.95693218391588,55,2.254630978103542,28,16.35271493734508,Paid on Time,2,1,0
167,Medium-Value,Rural,1117.3940917235425,76,4.7679815211568535,18,22.02442713396622,Default,1,0,1
168,High-Value,Urban,1877.9235968966457,62,8.931592067514725,3,23.897365081377952,Paid on Time,0,0,0
169,High-Value,Rural,1235.4650627716749,26,6.044784449459468,5,3.5880431191861772,Paid on Time,1,0,0
170,Medium-Value,Rural,1637.9122280793483,59,4.416318223792609,14,17.76467150300353,Default,0,0,1
171,Medium-Value,Urban,1620.290031944326,82,1.433820178412531,48,19.848376982567032,Late Payment,0,1,0
172,Medium-Value,Rural,1871.0452895832404,48,7.0504616548154955,26,15.984843864404855,Late Payment,0,0,0
173,Low-Value,Urban,1563.4346547347593,64,9.878920887761057,19,6.289872549688545,Paid on Time,0,0,0
174,Medium-Value,Suburban,1520.63097662487,37,9.206167588825446,41,24.072321237674373,Paid on Time,0,0,0
175,Low-Value,Suburban,544.7950634442171,82,7.455664698160851,17,29.926291536348355,Paid on Time,2,0,0
176,High-Value,Urban,213.85779511005475,51,1.9476357243035052,39,29.108837320427163,Late Payment,2,1,0
177,Low-Value,Suburban,1083.4389836022347,0,3.1549608406035476,42,23.54835738433971,Paid on Time,1,1,0
178,Medium-Value,Suburban,336.42499509883487,39,2.681641175079583,4,13.125123960806224,Paid on Time,2,1,0
179,High-Value,Urban,1928.1721649281835,80,4.199154762300807,42,10.781714437360643,Late Payment,0,0,0
180,High-Value,Suburban,650.8570490027543,20,3.1196550501238196,35,2.9878281739241226,Default,2,1,1
181,High-Value,Rural,1720.593986430157,85,3.199955013745239,24,13.072302808799021,Late Payment,0,1,0
182,Low-Value,Rural,836.4867878846727,14,6.550569418378651,41,5.5254093342221715,Default,1,0,1
183,Medium-Value,Urban,714.0690747290171,49,3.8683239036524513,13,8.375706691674825,Default,2,1,1
184,High-Value,Suburban,1876.8012875155803,102,7.094465888252258,33,26.864716422143182,Paid on Time,0,0,0
185,High-Value,Rural,790.3128869638256,47,9.531006932315625,15,29.08724331382535,Paid on Time,1,0,0
186,High-Value,Rural,841.5470264599593,102,6.746301249519151,15,28.50821101350705,Default,1,0,1
187,Low-Value,Suburban,301.5743812645274,31,7.764910094893341,31,6.607314889458337,Paid on Time,2,0,0
188,Low-Value,Suburban,1373.8486640367676,48,7.764223737545541,43,27.125932038824363,Default,0,0,1
189,Medium-Value,Rural,648.7948875072756,67,3.9763250955937988,28,5.103653726107689,Paid on Time,2,1,0
190,Low-Value,Rural,1212.6479188950636,107,1.1346219513409195,10,15.722146028408346,Late Payment,1,1,0
191,High-Value,Urban,1223.568237701098,44,1.49543166694793,7,19.66623765066683,Default,1,1,1
192,Medium-Value,Urban,1466.4794216319574,31,3.538542257961026,33,14.411539319912144,Default,0,1,1
193,High-Value,Rural,1515.9588237276384,3,7.205888652918382,7,28.60328562708745,Paid on Time,0,0,0
194,High-Value,Urban,1077.459625362925,116,9.160148247834632,5,10.663168969656548,Late Payment,1,0,0
195,Low-Value,Rural,728.8847004464657,64,9.629184359716717,26,16.293952229843843,Paid on Time,2,0,0
196,Medium-Value,Rural,1691.1567001859944,96,1.232637974560661,16,3.1880481289102445,Late Payment,0,1,0
197,Low-Value,Urban,688.7447338761209,70,9.910785210694941,8,25.714512822266553,Paid on Time,2,0,0
198,Low-Value,Urban,1064.2672794917298,72,3.902474965210244,22,12.987538482374395,Default,1,1,1
199,Medium-Value,Suburban,862.3799080870832,64,8.586606054116038,34,21.315431352167924,Late Payment,1,0,0
200,High-Value,Suburban,1724.6489333424074,79,2.6226591462710234,40,20.78512330043313,Late Payment,0,1,0
201,High-Value,Suburban,920.6452091770747,17,1.5660843184617326,28,20.61162389219316,Paid on Time,1,1,0
202,Medium-Value,Rural,833.5884587912201,53,4.405198816564187,46,15.70121008396579,Late Payment,1,0,0
203,High-Value,Urban,1410.6650165055112,46,8.730328496776238,36,9.04804492588738,Paid on Time,0,0,0
204,Medium-Value,Rural,1244.6381087367413,5,2.9874242429003446,47,19.127742198280206,Late Payment,1,1,0
205,Medium-Value,Urban,303.7689836421075,65,2.3856159317665795,7,28.891953610525327,Paid on Time,2,1,0
206,Low-Value,Rural,1065.52073205353,8,9.188238960551715,40,25.1845284224431,Paid on Time,1,0,0
207,Medium-Value,Suburban,1497.4089378331705,67,9.445034823593131,43,4.154278715059521,Paid on Time,0,0,0
208,Low-Value,Suburban,1984.9420527235768,108,1.1129337927001803,28,1.6724346460099524,Default,0,1,1
209,High-Value,Suburban,1295.3789845436063,22,7.546921636739334,2,15.470169349242607,Late Payment,1,0,0
210,High-Value,Rural,803.5568262385037,117,3.78286962876394,9,23.499051199727347,Default,1,1,1
211,High-Value,Urban,529.6880396240249,106,4.372339329704706,6,10.10317404184901,Default,2,0,1
212,High-Value,Urban,1758.3774448913086,108,5.221926774563409,1,21.3359100592226,Default,0,0,1
213,Low-Value,Suburban,1647.6739030156552,42,4.841118731570676,3,28.02571666292546,Default,0,0,1
214,High-Value,Suburban,544.4533594808313,50,5.634764064838947,10,14.310550701105397,Late Payment,2,0,0
215,Medium-Value,Suburban,481.2009712784896,71,6.2412554416601465,37,8.080630030688035,Late Payment,2,0,0
216,Medium-Value,Suburban,1458.7598759412335,102,5.190359543541318,44,27.614978000327167,Default,0,0,1
217,Medium-Value,Urban,698.408917645643,24,7.3140718644056575,23,14.695654956107731,Late Payment,2,0,0
218,Low-Value,Rural,682.1577168877199,79,7.467414965579278,33,12.827339893578191,Late Payment,2,0,0
219,High-Value,Rural,389.351469428545,34,4.963232776835756,9,11.247485574686795,Paid on Time,2,0,0
220,High-Value,Rural,601.5534874486768,16,2.2821683327839772,13,13.267491620725579,Late Payment,2,1,0
221,High-Value,Rural,912.2643594260342,17,6.765750291881104,28,20.53607777128839,Default,1,0,1
222,Low-Value,Suburban,1492.3928408175896,26,7.9566104111563805,7,13.577869189384465,Late Payment,0,0,0
223,Medium-Value,Suburban,738.9853793861246,14,6.742985690835547,26,10.402492768217384,Default,1,0,1
224,Medium-Value,Suburban,724.3482450117011,80,6.292492892621341,16,22.565492301231867,Late Payment,2,0,0
225,High-Value,Rural,641.335179849628,106,3.0647079211114567,40,6.88617138370749,Default,2,1,1
226,Medium-Value,Suburban,1008.7389682709817,68,6.806233367373324,26,6.856078014585755,Late Payment,1,0,0
227,Medium-Value,Suburban,443.2097260884991,79,4.013705931185908,39,21.196630559919747,Late Payment,2,0,0
228,Low-Value,Urban,1022.6983946610385,14,9.276029765319565,32,26.134489375494724,Late Payment,1,0,0
229,Low-Value,Urban,1437.9335567699106,41,6.883480834839827,36,7.995114345416753,Default,0,0,1
230,Low-Value,Suburban,156.60195766198214,109,3.503617090374724,42,6.542624274316457,Paid on Time,2,1,0
231,Low-Value,Urban,118.58082258094754,33,5.256342184275371,1,20.438870557431816,Default,2,0,1
232,High-Value,Urban,242.73352929356753,47,8.6192314829654,49,19.00327313142143,Late Payment,2,0,0
233,Low-Value,Suburban,1117.754117283413,82,4.019175560643827,21,13.970318049068753,Default,1,0,1
234,Medium-Value,Suburban,1723.4646580522665,7,5.72896513137143,13,3.7799585556015103,Late Payment,0,0,0
235,High-Value,Suburban,109.28048543847869,110,7.117029759263703,26,3.661777498474329,Late Payment,2,0,0
236,Medium-Value,Suburban,1879.656478710894,9,7.790764049440675,45,23.54291188228628,Paid on Time,0,0,0
237,Medium-Value,Rural,301.929171984018,4,2.5650295755827037,9,14.10130440447488,Late Payment,2,1,0
238,Medium-Value,Rural,1699.76870331063,115,6.0863707420956015,37,25.88104564600521,Late Payment,0,0,0
239,Low-Value,Suburban,1017.4240534675988,47,9.209799104465812,23,17.667275894627007,Late Payment,1,0,0
240,Low-Value,Urban,1352.7790358298034,116,9.715238033587246,1,18.94340609531135,Paid on Time,1,0,0
241,High-Value,Suburban,1070.2976704496466,25,6.905305383034224,2,28.09163881534806,Default,1,0,1
242,High-Value,Suburban,1006.3916278407738,85,9.85294723743987,43,5.773860927143701,Paid on Time,1,0,0
243,Low-Value,Urban,1686.3089138923438,107,6.1366172407852675,28,16.747702649612883,Default,0,0,1
244,Medium-Value,Rural,1536.184121178851,22,4.983445268028399,36,2.686019399015008,Late Payment,0,0,0
245,High-Value,Suburban,1018.464249393708,61,5.964287130534213,31,11.408826388581454,Default,1,0,1
246,Low-Value,Suburban,312.10826585251704,12,2.041411548371699,41,5.294856494234949,Default,2,1,1
247,Low-Value,Rural,319.2656226973754,8,4.61544327716849,5,6.447242906252546,Default,2,0,1
248,Low-Value,Rural,1622.9249753662434,112,5.125645477274758,37,28.109046881755315,Default,0,0,1
249,Medium-Value,Urban,1105.8421805603134,19,8.637650188488802,25,18.709793317941543,Late Payment,1,0,0
250,Low-Value,Rural,1015.019366416789,91,7.827837334682025,8,26.872585862504614,Paid on Time,1,0,0
251,Low-Value,Rural,1393.0769985853588,107,6.412839267023207,34,13.862085347331737,Default,0,0,1
252,Low-Value,Rural,1731.7990084870946,56,4.12549511388643,39,18.331657053238118,Late Payment,0,0,0
253,Low-Value,Urban,1294.85897438528,100,2.6833112712339138,49,1.9307408535948645,Late Payment,1,1,0
254,High-Value,Rural,1549.41101445831,23,4.129885188231651,32,14.615564735955688,Late Payment,0,0,0
255,High-Value,Rural,1554.0139958222182,107,7.118236638632187,11,17.357643526969856,Late Payment,0,0,0
256,Low-Value,Urban,776.8967527066222,32,3.367340191765298,47,1.4865537137008042,Default,1,1,1
257,Medium-Value,Rural,620.7580717178919,19,4.841980261382494,25,23.89518612788557,Paid on Time,2,0,0
258,High-Value,Rural,1622.2117276328015,59,4.480932113935138,3,9.56726654402156,Late Payment,0,0,0
259,Low-Value,Urban,816.6397043900627,47,7.890310574119542,45,14.122125173862337,Paid on Time,1,0,0
260,High-Value,Suburban,1816.3384123931398,63,8.9540835603413,32,16.53327827383991,Paid on Time,0,0,0
261,High-Value,Urban,232.41232378722728,29,7.294338611298793,35,29.773717440724567,Paid on Time,2,0,0
262,Medium-Value,Rural,210.61327294314532,107,4.074420348397307,32,3.876340259351303,Late Payment,2,0,0
263,Low-Value,Rural,1861.3079041926758,72,4.898593440782985,34,17.10310730451044,Late Payment,0,0,0
264,Low-Value,Rural,1332.0643369447262,108,2.290151386483493,37,16.387230228207812,Late Payment,1,1,0
